name_gr,name_en,categories,address,phone,url
"Μουσείο Μπενάκη ","Benaki Museum","Μουσεία Μουσεία τέχνης ","",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d198714-Reviews-Benaki_Museum-Athens_Attica.html"
"Κεραμεικός Νεκροταφείο ","Kerameikos Cemetery","Μνημεία και αξιοθέατα Κοιμητήρια Αρχαία ερείπια ","Between Ermou, Peireos, and Asomaton Streets Αθήνα 105 53,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d242832-Reviews-Kerameikos_Cemetery-Athens_Attica.html"
"ΧΟΡΟΘΕΑΤΡΟ \"ΔΟΡΑ Στράτου\" ","Dora Stratou Greek Dances Theatre","Συναυλίες και παραστάσεις Θέατρα ","Αρακύνθου 33 Filopappou Hill, Plaka Αθήνα 117 41,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d1067330-Reviews-Dora_Stratou_Greek_Dances_Theatre-Athens_Attica.html"
"Μουσείο Μπενάκη Ισλαμικής Τέχνης ","Benaki Museum of Islamic Art","Μουσεία Μουσεία τέχνης ","",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d2389801-Reviews-Benaki_Museum_of_Islamic_Art-Athens_Attica.html"
"Πλατεία Ομονοίας ","Omonia Square","Μνημεία και αξιοθέατα Μνημεία και σημεία ενδιαφέροντος ","Αθήνα,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d198947-Reviews-Omonia_Square-Athens_Attica.html"
"Βιβλιοθήκη του Αδριανού ","Hadrian's Library","Μνημεία και αξιοθέατα Ιστορικές τοποθεσίες ","Άρεως 3 Αθήνα 105 55,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d6739897-Reviews-Hadrian_s_Library-Athens_Attica.html"
"Ναός Αγίου Γεωργίου ","Chapel of St. George","Μνημεία και αξιοθέατα Θρησκευτικές τοποθεσίες και ιεροί χώροι ","Λυκαβηττός Αθήνα,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d198763-Reviews-Chapel_of_St_George-Athens_Attica.html"
"Καθολικός Καθεδρικός Ναός Αγίου Διονυσίου Αρεοπαγίτη ","Agios Dionysios Areopagitis Catholic Cathedral","Μνημεία και αξιοθέατα Θρησκευτικές τοποθεσίες και ιεροί χώροι ","Πανεπιστημίου 24 Αθήνα 999-20,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d566805-Reviews-Agios_Dionysios_Areopagitis_Catholic_Cathedral-Athens_Attica.html"
"Κολωνάκι ","Kolonaki Square","Μνημεία και αξιοθέατα ","Pl.Filikis Eterias Αθήνα 10673,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d198776-Reviews-Kolonaki_Square-Athens_Attica.html"
"Εθνική Βιβλιοθήκη της Ελλάδος - Βαλλιάνειο κτίριο ","National Library of Greece","Πηγές ενημέρωσης ταξιδιωτών Βιβλιοθήκες ","32 Panepistimiou Street Αθήνα 106 79,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d3223474-Reviews-National_Library_of_Greece-Athens_Attica.html"
