grTitle,enTitle,longitude,latitude
"Ρωμαϊκή Έπαυλη στη Λουκού Κυνουρίας","Roman Villa in Loukou Kynourias","22.6854","37.415926"
"Μονή Μεταμόρφωσης Σωτήρος Λουκούς","Metamorfosi Sotiros (Transfiguration) Monastery of Loukou","22.683393","37.413719"
"Μονή Αγίας Λαύρας","Monastery of Agia Lavra","22.080747","38.01273"
"Μονή Αγίου Δημητρίου στην Κυψέλη","Monastery of Agios Dimitrios of Kipseli","20.560784","39.307273"
"Μονή Αγίου Ιωάννου Προδρόμου","Monastery of Aghios Ioannes Prodromos (St. John the Baptist)","20.742802","37.848006"
"Ναός Αγίου Νικολάου Αγόριανης","Church of Agios Nikolaos at Agoriani","22.268021","37.207495"
"Μονή Αγίου Παντελεήμονος","Monastery of Agios Panteleimon","24.199941","40.238899"
"Μονή Αγίου Παύλου","Monastery of Agios Pavlos","24.289499","40.160615"
"Ναός Αγίων Αποστόλων Λεονταρίου","Church of Aghioi Apostoloi at Leontari","22.14616","37.320941"
"Μονή Αγίων Τεσσαράκοντα","Monastery of Agioi Tessarakontes","22.479158","37.116809"
"Καθολικό μονής Βαρσαμόνερου","Monastery of Varsamoneron","24.863799","35.140459"
"Μονή Βατοπεδίου","Monastery of Vatopedi","24.210745","40.314745"
"Μονή Βροντησίου","Vrondisiou Monastery","24.881029","35.143705"
"Μονή Δαφνίου","Monastery of Daphni","23.635827","38.012813"
"Μονή Ευαγγελίστριας Σκιάθου","Monastery of the Evangelistria at Skiathos","23.482043","39.190156"
"Μονή Ευαγγελίστριας Δαπόντε","Monastery of the Evangelistria at Daponte","23.778867","39.116593"
"Μονή Ζωγράφου","Monastery of Zographou","24.16209","40.305222"
"Μονή Θεοτόκου \"Αναφωνήτριας\"","Monastery of Theotokos Anafonitria","20.645041","37.844552"
"Μονή Καισαριανής","Monastery of Kaisariani","23.798125","37.960694"
"Μονή Κάτω Παναγιάς","Monastery of Kato Panagia","20.98933","39.144983"
"Μονή Κορώνας","Monastery of Korona","21.778514","39.316237"
"Μονή Κουτλουμουσίου","Monastery of Koutloumousiou","24.247534","40.253148"
"Ναός Πόρτας Παναγιάς Πύλης","Church of Porta Panagia at Pyli","21.609807","39.45995"
"Μονή Μεγίστης Λαύρας","Monastery of Megisti Lavra","24.382728","40.170876"
"Μονή Ξηροποτάμου","Monastery of Xiropotamou","24.22039","40.228104"
"Ιερά Μονή Παναγίας Ολυμπιώτισσας στην Ελασσόνα","Monastery of Panagia Olympiotissa at Elassona","22.183129","39.897893"
"Μονή Γρηγορίου","Monastery of Gregoriou","24.256375","40.180472"
"Μονή Παντοκράτορος","Monastery of Pantokratoros","24.266632","40.283724"
"Μονή Πρέβελης","Monastery of Preveli","24.456566","35.157699"
"Μονή Σταυρονικήτα","Monastery of Stavronikita","24.276773","40.267996"
"Μονή Αγ. Τριάδας Τζαγκαρόλων στο Ακρωτήρι","Monastery of Ag. Triada Tzangarolon","24.135313","35.560684"
"Μονή Τιμίου Προδρόμου","Monastery of Timios Prodromos","24.136469","40.959468"
"Μονή Τοπλού","Monastery of Toplou","26.215999","35.221449"
"Μονή Φιλοθέου","Monastery of Filotheou","24.290975","40.225753"
"Μονή Φιλοσόφου","Philosophos Monastery","22.046106","37.556979"
"Μπούρτζι","Bourtzi","22.790271","37.569772"
"Κάστρο Μύρινας","Castle of Myrina","25.055729","39.877903"
"Φρούριο Παλαμηδίου","Fortress of Palamidi","22.803798","37.562082"
"Κάστρο Πύλου - Νιόκαστρο","Castle of Pylos","21.691201","36.912178"
